Indicator,Country Name,1993,1996,1999,2002,2005,2008,2011,2014,2017,2020
Electric power consumption (kWh per capita),Malta,3716.591078,3790.42129,4197.864688,4500.3523,4912.90976,4836.593963,4867.0568,4924.544019,4867.0568,4924.544019
Electric power consumption (kWh per capita),Mauritius,820.1397154,1021.167623,1226.955237,1473.492493,1683.690833,1881.649775,2025.704166,2182.035001,2025.704166,2182.035001
Electric power consumption (kWh per capita),Mexico,1342.516849,1468.971073,1709.35096,1857.99072,2007.04836,2067.794654,2246.91125,2186.375822,2246.91125,2186.375822
Electric power consumption (kWh per capita),Moldova,3214.651523,2463.277319,2168.48164,2330.162448,2548.299835,2524.022834,1829.62276,1725.094172,1829.62276,1725.094172
Electric power consumption (kWh per capita),Mongolia,1095.885101,1067.019427,1019.976216,1074.313211,1235.906543,1422.612284,1510.238205,2032.159729,1510.238205,2032.159729
Electric power consumption (kWh per capita),Morocco,407.5286116,439.977743,457.8202567,538.8061771,634.9586694,731.2472214,822.7646381,902.9565381,822.7646381,902.9565381
Electric power consumption (kWh per capita),Mozambique,51.24503617,45.52365355,68.86649952,266.7565876,457.3226394,452.1740356,462.533892,483.4726029,462.533892,483.4726029
Electric power consumption (kWh per capita),Myanmar,52.00019852,59.00048888,69.82428436,74.95659983,76.77403066,96.47136438,158.089679,220.3928554,158.089679,220.3928554
Electric power consumption (kWh per capita),Namibia,1108.731159,1042.988583,1147.177858,1105.095246,1502.395733,1642.832756,1629.196094,1674.988107,1629.196094,1674.988107
Electric power consumption (kWh per capita),Nepal,37.05208531,44.76831934,53.51412825,65.92405912,75.47999609,82.80774348,114.8666533,143.5068381,114.8666533,143.5068381
Electric power consumption (kWh per capita),Netherlands,5494.112372,5905.992197,6349.319584,6641.740762,6912.372085,7173.046299,7060.053768,6712.774758,7060.053768,6712.774758
Electric power consumption (kWh per capita),New Zealand,8909.355579,9072.883173,9138.744752,9526.655692,9673.673771,9556.317198,9458.485401,9012.731097,9458.485401,9012.731097
Electric power consumption (kWh per capita),Nicaragua,287.4065349,306.5004485,324.9583455,349.6858532,411.2066743,470.1336769,524.8585919,562.2776901,524.8585919,562.2776901
Electric power consumption (kWh per capita),Nigeria,100.8119983,85.68247161,75.49151884,103.8639119,127.8305054,125.4802832,147.7846401,142.1292221,147.7846401,142.1292221
Electric power consumption (kWh per capita),North Macedonia,2597.034493,2913.912465,2866.431813,2794.832283,3413.105007,3712.935378,3909.083092,3513.954972,3909.083092,3513.954972
Electric power consumption (kWh per capita),Norway,23967.11867,23998.84419,25057.1896,24620.33613,25083.21453,24866.13431,23510.38383,22999.9346,23510.38383,22999.9346
Electric power consumption (kWh per capita),Oman,2445.619122,2652.539098,3005.707861,3421.034348,3917.792359,4971.279066,5934.758815,6474.500202,5934.758815,6474.500202
Electric power consumption (kWh per capita),Pakistan,311.4301409,329.8798607,322.169567,340.9288436,408.7179131,389.6425442,399.3399124,419.6845943,399.3399124,419.6845943
Electric power consumption (kWh per capita),Panama,966.8268329,1094.311385,1231.006551,1336.114502,1465.87825,1636.494514,1833.450177,2070.822489,1833.450177,2070.822489
Electric power consumption (kWh per capita),Paraguay,650.2208517,823.702075,888.9718348,921.9689655,914.0243767,1107.145464,1381.26014,1682.066869,1381.26014,1682.066869
Electric power consumption (kWh per capita),Peru,515.0574456,577.7020267,637.8884483,720.9569532,821.3230791,1033.528043,1253.556881,1334.192046,1253.556881,1334.192046
Electric power consumption (kWh per capita),Philippines,338.0732031,431.3061297,467.9139406,522.8111085,576.7363677,582.3522789,638.3364356,690.7659626,638.3364356,690.7659626
Electric power consumption (kWh per capita),Poland,2977.7121,3159.041817,3171.757384,3208.392157,3437.323998,3725.748778,3879.542094,3971.799761,3879.542094,3971.799761
Electric power consumption (kWh per capita),Portugal,2803.202312,3195.864047,3795.22928,4271.168528,4682.991013,4850.837413,4848.279337,4662.6008,4848.279337,4662.6008
Electric power consumption (kWh per capita),Qatar,10696.62847,11682.23858,13024.57843,14268.36758,15761.56756,13907.30449,15971.32423,16415.25154,15971.32423,16415.25154
Electric power consumption (kWh per capita),Romania,2272.124228,2430.301529,1935.560812,2079.796062,2365.419564,2605.819735,2639.033434,2584.411787,2639.033434,2584.411787
Electric power consumption (kWh per capita),Russian Federation,5726.451593,5016.444066,4998.825661,5304.41526,5770.100636,6399.683749,6485.75903,6602.657479,6485.75903,6602.657479
Electric power consumption (kWh per capita),Saudi Arabia,4723.009229,4871.181663,5394.946896,5830.596309,6457.385803,6796.865572,7514.490839,9047.685513,7514.490839,9047.685513
Electric power consumption (kWh per capita),Senegal,104.8001775,110.9298967,119.4273732,148.8073313,161.9273528,162.7231158,206.2771632,232.7078258,206.2771632,232.7078258
Electric power consumption (kWh per capita),Serbia,3479.533937,4132.561211,3979.363962,4480.344352,3921.906459,4291.843158,4489.57085,4271.744667,4489.57085,4271.744667
Electric power consumption (kWh per capita),Singapore,5499.972687,6312.685523,7187.671378,7756.318921,8678.168168,8401.048395,8651.755275,8844.687593,8651.755275,8844.687593
Electric power consumption (kWh per capita),Slovak Republic,4570.442444,5150.407724,5028.706343,5051.59839,4932.803281,5294.435099,5347.526223,5137.073835,5347.526223,5137.073835
Electric power consumption (kWh per capita),Slovenia,4950.932498,5365.50828,5675.615026,6380.951903,6917.860467,6920.244039,6753.073664,6727.999302,6753.073664,6727.999302
Electric power consumption (kWh per capita),South Africa,3749.70841,4450.892638,4275.582097,4385.278235,4529.414982,4592.628711,4528.050043,4183.82749,4528.050043,4183.82749
Electric power consumption (kWh per capita),Spain,3638.526631,4008.939416,4820.675034,5576.546265,6111.219223,6025.772757,5599.377374,5355.987006,5599.377374,5355.987006
Electric power consumption (kWh per capita),Sri Lanka,183.5561205,204.9937929,262.929402,302.3436025,397.4816134,420.0507719,491.0415243,519.5518887,491.0415243,519.5518887
Electric power consumption (kWh per capita),Sudan,57.30206277,59.17294164,80.08843823,81.35560859,102.9770001,134.0704098,195.1793547,263.5174293,195.1793547,263.5174293
Electric power consumption (kWh per capita),Sweden,15506.8021,15434.23039,15470.86807,15709.42967,15430.96395,14869.34898,14030.16315,13480.14822,14030.16315,13480.14822
Electric power consumption (kWh per capita),Switzerland,7235.094076,7393.539173,7646.706162,8031.432226,8305.371102,8305.923042,7928.19067,7520.166025,7928.19067,7520.166025
Electric power consumption (kWh per capita),Syrian Arab Republic,688.7019781,895.9214363,1020.237402,1227.859136,1479.96425,1500.18215,1551.423793,908.4689735,1551.423793,908.4689735
Electric power consumption (kWh per capita),Tajikistan,2513.726419,2256.113725,2162.995299,2102.952495,2106.176159,1916.548105,1790.921536,1486.245831,1790.921536,1486.245831
Electric power consumption (kWh per capita),Tanzania,47.73610554,59.92151823,55.04515076,66.37594571,77.61253596,84.29963795,85.94013564,101.9393027,85.94013564,101.9393027
Electric power consumption (kWh per capita),Thailand,1018.327965,1378.201121,1355.21152,1613.700353,1903.014462,2080.508893,2244.049097,2483.557147,2244.049097,2483.557147
Electric power consumption (kWh per capita),Togo,69.14489828,101.8920201,111.1352829,94.66939365,107.5005817,102.5314336,131.7296203,151.4739278,131.7296203,151.4739278
Electric power consumption (kWh per capita),Trinidad and Tobago,2706.391319,3114.735876,3631.327224,3875.289384,4871.172142,5389.850539,6006.253433,6661.101388,6006.253433,6661.101388
Electric power consumption (kWh per capita),Tunisia,684.9595079,757.5380015,915.2981891,1042.541622,1054.162242,1159.322047,1288.190703,1408.091103,1288.190703,1408.091103
Electric power consumption (kWh per capita),Turkiye,1102.694624,1309.173055,1534.209962,1646.055475,1990.401969,2392.06763,2668.527916,2815.044993,2668.527916,2815.044993
Electric power consumption (kWh per capita),Ukraine,3953.280234,3060.335541,2792.104521,2844.812724,3246.034284,3534.357992,3662.444428,3418.569317,3662.444428,3418.569317
Electric power consumption (kWh per capita),United Arab Emirates,8894.050423,9388.452367,11700.16558,11969.76598,13161.19882,11457.091,10732.80464,11562.98852,10732.80464,11562.98852
Electric power consumption (kWh per capita),United Kingdom,5491.989118,5815.828404,6007.484416,6142.749834,6270.984059,6015.726861,5471.933475,5130.390253,5471.933475,5130.390253
Electric power consumption (kWh per capita),United States,12261.52378,12854.29891,13281.86998,13296.1823,13704.57705,13663.42797,13245.88193,12993.96558,13245.88193,12993.96558
Electric power consumption (kWh per capita),Uruguay,1457.556356,1646.60809,1932.318236,2010.621088,2004.421785,2597.623711,2828.383909,3093.173789,2828.383909,3093.173789
Electric power consumption (kWh per capita),Uzbekistan,2018.229879,1827.771798,1745.953072,1775.809844,1717.201055,1652.65101,1631.526207,1645.441629,1631.526207,1645.441629
Electric power consumption (kWh per capita),"Venezuela, RB",2677.911024,2650.881996,2577.590149,2733.456795,2860.910236,3091.913666,3233.313373,2705.604013,3233.313373,2705.604013
Electric power consumption (kWh per capita),Viet Nam,113.829857,182.5303315,256.2602215,381.7351061,574.690835,808.6125112,1109.326311,1431.164341,1109.326311,1431.164341
Electric power consumption (kWh per capita),"Yemen, Rep.",124.2323299,114.9008392,123.602284,145.6716621,173.2121846,215.9543545,181.1144071,204.5161902,181.1144071,204.5161902
Electric power consumption (kWh per capita),Zambia,775.1256602,719.2750319,617.2802294,672.5163951,710.1679483,589.3581295,620.9950585,701.940863,620.9950585,701.940863
Electric power consumption (kWh per capita),Zimbabwe,757.5787051,895.4953364,935.265909,876.121143,881.0811965,619.3454253,629.8276841,597.2970217,629.8276841,597.2970217
Fossil fuel energy consumption (% of total),Albania,53.47897796,45.45376374,58.23879385,63.23313038,66.48668055,63.84717579,61.50276527,61.42180139,61.50276527,61.42180139
Fossil fuel energy consumption (% of total),Algeria,99.821532,99.8415349,99.7444924,99.74042914,99.61031383,99.82113635,99.88747563,99.97791672,99.88747563,99.97791672
Fossil fuel energy consumption (% of total),Angola,24.96466182,23.49809695,24.71441292,28.14780415,27.08377147,37.96075957,43.8497839,48.30559301,43.8497839,48.30559301
Fossil fuel energy consumption (% of total),Argentina,87.68722886,87.69628353,88.27912241,85.80340795,89.05328415,90.65178935,88.85381112,87.72240748,88.85381112,87.72240748
Fossil fuel energy consumption (% of total),Armenia,82.06376731,57.65082395,65.2516387,61.80609664,68.09841787,73.28613291,71.54992989,74.56186571,71.54992989,74.56186571
Fossil fuel energy consumption (% of total),Australia,93.75834561,93.64822076,93.92791207,95.89021479,94.21585218,94.35148823,94.42165586,93.38683566,94.42165586,93.38683566
Fossil fuel energy consumption (% of total),Austria,77.01114249,78.19818694,76.60732845,77.31087417,77.03042943,71.5548631,69.1541834,64.81315647,69.1541834,64.81315647
Fossil fuel energy consumption (% of total),Azerbaijan,98.58502553,98.39426687,98.0526344,97.31467397,97.11654376,98.30247707,97.86257155,98.36599003,97.86257155,98.36599003
Fossil fuel energy consumption (% of total),Bangladesh,49.45684214,56.07741741,57.27512604,61.04664093,63.34035291,67.58003802,71.64883909,73.76893795,71.64883909,73.76893795
Fossil fuel energy consumption (% of total),Belarus,94.8614641,92.16835137,92.24416123,92.02802138,92.67264293,93.18677185,91.3924706,92.44037502,91.3924706,92.44037502
Fossil fuel energy consumption (% of total),Belgium,75.93501516,77.64448379,75.7901429,74.47018148,74.76394898,73.39363209,70.25449593,72.65250484,70.25449593,72.65250484
Fossil fuel energy consumption (% of total),Benin,3.835510654,13.33205008,21.00728423,29.64712259,31.04976023,39.07586139,39.43086778,36.72458133,39.43086778,36.72458133
Fossil fuel energy consumption (% of total),Bolivia,68.57968935,76.49405639,78.1339915,80.86023884,83.27413782,82.60450095,82.99562133,84.15328999,82.99562133,84.15328999
Fossil fuel energy consumption (% of total),Bosnia and Herzegovina,89.58488974,72.99470787,84.80497789,87.74904709,88.50970947,92.31931424,93.99664295,77.52204497,93.99664295,77.52204497
Fossil fuel energy consumption (% of total),Botswana,63.96703942,60.17227447,64.85003416,65.37722141,66.83188661,66.6560959,62.26252518,74.68798407,62.26252518,74.68798407
Fossil fuel energy consumption (% of total),Brazil,53.26424997,56.26743393,57.28867439,57.15399761,54.25232116,52.56946061,54.56870942,59.10753264,54.56870942,59.10753264
Fossil fuel energy consumption (% of total),Bulgaria,81.91968186,77.48124012,74.73726206,70.46655611,72.96125478,76.14213638,75.0439513,71.04592252,75.0439513,71.04592252
Fossil fuel energy consumption (% of total),Cameroon,16.65420131,15.68953898,14.6517909,15.81143353,15.33399116,27.62178047,29.73959214,38.31785719,29.73959214,38.31785719
Fossil fuel energy consumption (% of total),Canada,72.57768592,73.23708495,75.63775473,75.16336686,75.74513789,75.07600268,74.69174698,73.19287432,74.69174698,73.19287432
Fossil fuel energy consumption (% of total),Chile,68.074028,72.39165888,77.1642196,73.20071836,74.24470723,75.18426695,76.67911718,73.25054383,76.67911718,73.25054383
Fossil fuel energy consumption (% of total),China,76.46878729,78.98587561,79.4000084,81.20212523,85.872736,87.22405182,88.89836293,87.67043077,88.89836293,89.67043077
Fossil fuel energy consumption (% of total),Colombia,70.36132127,69.90407976,73.52906728,74.94785653,75.92287113,74.9778164,75.71843548,76.68569263,75.71843548,76.68569263
Fossil fuel energy consumption (% of total),"Congo, Dem. Rep.",7.351352329,5.815207924,3.086504486,1.714585084,2.546349612,3.067486181,3.691647321,5.355814142,3.691647321,5.355814142
Fossil fuel energy consumption (% of total),"Congo, Rep.",32.09623019,22.03410396,16.68382563,24.25694895,33.30971621,35.49801146,36.59055252,40.48060338,36.59055252,40.48060338
Fossil fuel energy consumption (% of total),Costa Rica,58.57040387,57.25565494,61.00568975,55.00195317,46.89102785,48.9982241,48.26480979,49.88027273,48.26480979,49.88027273
Fossil fuel energy consumption (% of total),Cote d'Ivoire,28.55316939,32.01815313,40.89197809,37.84871563,25.39125672,24.61665796,20.86776164,26.49233002,20.86776164,26.49233002
Fossil fuel energy consumption (% of total),Croatia,78.27105074,74.48571793,78.27437077,79.7087522,77.03280172,78.05160612,74.63709828,70.70366234,74.63709828,70.70366234
Fossil fuel energy consumption (% of total),Cuba,61.61673999,66.95607493,70.47882818,72.62938506,81.0269063,86.92784489,87.59646004,85.59641456,87.59646004,85.59641456
Fossil fuel energy consumption (% of total),Cyprus,99.67524793,97.59309465,97.69161926,97.77565525,97.43157066,96.1058446,94.89409483,92.90621503,94.89409483,92.90621503
Fossil fuel energy consumption (% of total),Czechia,89.70098405,89.26163926,87.93101343,86.87193923,83.67512072,81.42330557,79.28733913,75.27852225,79.28733913,75.27852225
Fossil fuel energy consumption (% of total),Denmark,91.75701497,98.52626246,90.89289458,87.98990847,82.18730305,80.13136834,74.82227821,67.70455812,74.82227821,67.70455812
Fossil fuel energy consumption (% of total),"Egypt, Arab Rep.",93.96157784,94.07725083,94.01790377,94.87049143,96.23115195,96.16210914,96.7923892,97.92892979,96.7923892,97.92892979
Fossil fuel energy consumption (% of total),El Salvador,41.6350877,43.12577744,46.52849402,44.20870069,44.0880532,44.61572394,47.38176679,48.42958734,47.38176679,48.42958734
Fossil fuel energy consumption (% of total),Eritrea,23.18490009,27.86632445,29.27836551,26.8514906,34.40924565,19.10593817,21.88379983,23.1334477,21.88379983,23.1334477
Fossil fuel energy consumption (% of total),Estonia,31.65620666,27.97456242,32.2073056,29.58705583,30.28470368,28.07201921,18.87797812,14.49029111,18.87797812,14.49029111
Fossil fuel energy consumption (% of total),Finland,54.80545497,55.65215756,50.79324858,51.34684724,49.1854771,47.71862236,46.98862802,42.18252679,46.98862802,42.18252679
Fossil fuel energy consumption (% of total),France,54.19402551,53.84750116,54.01870151,52.81353407,52.29710794,50.8434655,48.67698651,46.22592306,48.67698651,46.22592306
Fossil fuel energy consumption (% of total),Georgia,77.98328005,60.53852119,55.69596734,49.58947522,64.41339158,66.78923596,72.76506637,72.20953534,72.76506637,72.20953534
Fossil fuel energy consumption (% of total),Germany,50.09887,49.983873,47.0099876,43.094884,42.09837436,39.093837,24.894847,20.939838,18.949348,16.93838477
Fossil fuel energy consumption (% of total),Greece,94.16119401,93.46299999,94.17983504,94.07165972,93.41073803,92.78015423,90.85296404,86.04931718,90.85296404,86.04931718
Fossil fuel energy consumption (% of total),Guatemala,31.69115918,37.7069844,40.31014636,44.30087278,44.16831872,40.36716288,30.92107225,37.37859696,30.92107225,37.37859696
Fossil fuel energy consumption (% of total),Honduras,33.22425374,40.32338557,49.08964853,53.55272814,54.86179356,54.27791449,52.14850779,52.47931253,52.14850779,52.47931253
Fossil fuel energy consumption (% of total),Iceland,30.04565618,30.73641907,24.46796246,23.08597581,23.65901196,13.16704987,10.25495259,10.92848727,10.25495259,10.92848727
Fossil fuel energy consumption (% of total),India,56.95683361,60.8251558,63.46040016,64.32920579,65.98980361,69.00512159,71.4717185,73.57697909,71.4717185,73.57697909
Fossil fuel energy consumption (% of total),Indonesia,59.07520986,61.50844393,62.21294558,62.54925387,64.9962453,63.80707707,65.3021442,66.08947546,65.3021442,66.08947546
Fossil fuel energy consumption (% of total),Iraq,99.75337386,99.77318585,99.62792002,99.72099519,97.5112546,97.84255722,97.67302488,95.98417678,97.67302488,95.98417678
Fossil fuel energy consumption (% of total),Jamaica,83.98332316,85.25520123,86.64970853,88.97377256,88.91524035,85.97681496,82.49309604,80.97134481,82.49309604,80.97134481
Fossil fuel energy consumption (% of total),Kenya,15.95823285,16.31727244,16.95928355,15.67695128,15.43874425,16.96466644,19.06401864,17.37957261,19.06401864,17.37957261
Fossil fuel energy consumption (% of total),"Korea, Dem. People's Rep.",91.64576079,89.17157857,89.76591755,90.12492776,89.81569661,88.73478549,63.55991563,62.05199476,63.55991563,62.05199476
Fossil fuel energy consumption (% of total),Kyrgyz Republic,82.00145465,68.08947638,63.08087685,65.88786629,66.02258082,74.40930313,70.10080255,75.47621896,70.10080255,75.47621896
Fossil fuel energy consumption (% of total),Latvia,73.37090452,65.23375847,63.32951944,63.41260314,63.18156672,65.08767982,62.89389927,56.71742757,62.89389927,56.71742757
Fossil fuel energy consumption (% of total),Lebanon,95.13552148,94.60972911,95.71276746,95.20036763,93.99382539,95.57159729,95.51802998,97.62110111,95.51802998,97.62110111
Fossil fuel energy consumption (% of total),Libya,98.93127773,99.13991781,99.09551629,99.14797725,99.13547579,99.15229268,98.90275075,99.11129636,98.90275075,99.11129636
Fossil fuel energy consumption (% of total),Lithuania,61.01380459,58.61733395,60.26766649,53.45321369,59.88021109,60.25067732,73.87595173,67.99374947,73.87595173,67.99374947
Fossil fuel energy consumption (% of total),Luxembourg,89.34209305,85.62631275,83.01312235,89.84916727,91.16899273,87.11638336,87.00863719,83.33175267,87.00863719,83.33175267
Fossil fuel energy consumption (% of total),Malaysia,92.85170483,93.94502111,94.13802834,95.62841973,96.82708398,96.76022577,96.81165029,96.6281989,96.81165029,96.6281989
Fossil fuel energy consumption (% of total),Mexico,86.97184566,86.24386972,87.09443948,88.52239253,88.63817568,89.69529199,90.4646097,90.27848997,90.4646097,90.27848997
Fossil fuel energy consumption (% of total),Moldova,98.33243531,94.2949714,92.18524724,89.48375959,89.42114872,89.06282699,91.14389049,88.68802224,91.14389049,88.68802224
Fossil fuel energy consumption (% of total),Mongolia,96.81020805,94.90562231,95.63205483,92.9921114,93.913775,94.52912193,95.25304607,93.19938283,95.25304607,93.19938283
Fossil fuel energy consumption (% of total),Morocco,86.03306542,86.36749359,86.95095375,87.79692606,84.22703751,86.37394812,88.65514878,88.46886281,88.65514878,88.46886281
Fossil fuel energy consumption (% of total),Mozambique,6.146608654,5.552479913,5.595292913,6.001886409,6.010092175,7.008780099,9.031287519,12.61995347,9.031287519,12.61995347
Fossil fuel energy consumption (% of total),Myanmar,17.85300663,22.54497228,26.03412628,24.07386239,29.47735243,28.4497335,20.8796747,44.28989524,20.8796747,44.28989524
Fossil fuel energy consumption (% of total),Namibia,58.75398028,63.82023608,61.75233161,62.95989214,63.08334792,66.60771692,66.43282063,66.71909083,66.43282063,66.71909083
Fossil fuel energy consumption (% of total),Netherlands,97.60032633,95.16427457,94.15364099,93.98505598,93.05623663,92.32417383,92.18561,90.92188386,92.18561,90.92188386
Fossil fuel energy consumption (% of total),New Zealand,68.30793359,69.8094031,70.81706549,69.77397777,68.18112115,66.85097419,59.75881495,59.84684405,59.75881495,59.84684405
Fossil fuel energy consumption (% of total),North Macedonia,89.13723963,90.88161349,88.69793802,88.40655003,84.62103432,83.78533711,82.10861197,79.42591466,82.10861197,79.42591466
Fossil fuel energy consumption (% of total),Pakistan,54.90888337,57.01361919,58.66169495,57.64561976,60.08080078,61.63521395,59.6873876,61.58536145,59.6873876,61.58536145
Fossil fuel energy consumption (% of total),Japan,17.85300663,22.54497228,26.03412628,24.07386239,29.47735243,28.4497335,30.8796747,35.28989524,38.8796747,44.28989524
Fossil fuel energy consumption (% of total),Panama,64.15330779,67.05937856,71.41295155,70.49667179,73.66243438,70.71913247,82.6356057,80.71266196,82.6356057,80.71266196
Fossil fuel energy consumption (% of total),Philippines,49.27312265,56.33445817,53.2161268,55.87291963,57.81258936,57.62975477,59.88098622,62.43489629,59.88098622,62.43489629
Fossil fuel energy consumption (% of total),Portugal,81.96160608,80.55177441,86.50723681,85.25673275,84.12212742,78.63659453,75.65654081,72.8127263,75.65654081,72.8127263
Fossil fuel energy consumption (% of total),Romania,94.69313868,90.95449502,84.3297836,86.74474721,83.86668462,79.84316277,77.6518382,72.52369457,77.6518382,72.52369457
Fossil fuel energy consumption (% of total),Serbia,88.11244319,87.17251628,83.67748488,86.16732762,89.60711039,90.25827926,89.07430958,83.87126164,89.07430958,83.87126164
Fossil fuel energy consumption (% of total),Sri Lanka,29.80516926,37.55152811,39.8370321,44.58774447,45.29383381,44.86267171,48.84018447,50.54557398,48.84018447,50.54557398
Fossil fuel energy consumption (% of total),Sudan,11.11627808,12.97350681,22.42723685,19.12148701,23.31137,32.76289949,29.56457524,31.72652659,29.56457524,31.72652659
Fossil fuel energy consumption (% of total),Switzerland,57.53645147,56.14527062,55.80758728,54.45185282,55.46078234,52.51119511,50.38877908,48.74185988,50.38877908,48.74185988
Fossil fuel energy consumption (% of total),Tajikistan,57.72791179,39.37050942,41.45829331,35.52144569,36.72646903,41.55518769,36.25452584,45.98414186,36.25452584,45.98414186
Fossil fuel energy consumption (% of total),Thailand,71.73378721,77.8356255,78.70113772,81.92836084,81.81330376,80.57079085,80.19388911,79.83902265,80.19388911,79.83902265
Fossil fuel energy consumption (% of total),Togo,6.379327641,17.79794155,17.20828446,13.41792319,13.79788385,14.29407395,19.90908937,17.80063303,19.90908937,17.80063303
Fossil fuel energy consumption (% of total),Trinidad and Tobago,99.11163552,99.40369198,99.48945887,99.63349547,99.75418531,99.86072753,99.92924194,99.91950642,99.92924194,99.91950642
Fossil fuel energy consumption (% of total),Tunisia,86.75515322,86.91700265,87.16586711,87.07320457,86.32363633,86.69977823,88.07194404,88.8703881,88.07194404,88.8703881
Fossil fuel energy consumption (% of total),Ukraine,89.00327145,85.45754145,85.10097241,84.28883846,83.2777787,80.85074966,79.55403602,75.34950578,79.55403602,75.34950578
Fossil fuel energy consumption (% of total),United Kingdom,54.19402551,53.84750116,54.01870151,52.81353407,52.29710794,48.8434655,43.67698651,42.22592306,41.67698651,40.22592306
Fossil fuel energy consumption (% of total),United Arab Emirates,99.88737141,99.93960629,99.94752516,99.95756782,99.93717685,99.92683097,91.67558547,86.12834902,91.67558547,86.12834902
Fossil fuel energy consumption (% of total),United States,86.11796479,85.51006132,85.78460105,86.24908436,86.01853539,84.96822169,83.71405277,83.08904242,83.71405277,83.08904242
Fossil fuel energy consumption (% of total),Uruguay,60.27272659,65.50947333,70.24568939,55.79019449,63.27733022,64.71136225,56.0551124,46.27030789,56.0551124,46.27030789
Fossil fuel energy consumption (% of total),"Venezuela, RB",89.16327703,89.4540747,88.21105706,89.85294105,86.96036766,87.33395011,88.126095,88.3226353,88.126095,88.3226353
Fossil fuel energy consumption (% of total),Viet Nam,30.36653496,39.58945312,44.47201564,52.27151552,60.53286039,64.56385219,68.49888991,69.234532,68.49888991,69.234532
Fossil fuel energy consumption (% of total),Zambia,13.36135061,9.645147764,9.179157126,9.394503206,10.0872178,7.33559878,8.55911776,8.5212637,8.55911776,8.5212637
Urban population,Afghanistan,3002966,3714526,4235130,4674867,5542073,6162823,7004588,8043935,8999963,10142913
Urban population,Albania,1219882,1250518,1279853,1327220,1407298,1473392,1546929,1630119,1706345,1762645
Urban population,Algeria,14891422,16455736,17939997,19449504,21036255,22849463,24935851,27217778,29639704,32038217
Urban population,American Samoa,42809,46893,50758,51425,50441,49072,47522,45579,43117,40255
Urban population,Andorra,55672,59929,60840,64927,72071,67692,62611,63342,65087,68311
Urban population,Angola,5412316,6522274,7760322,9189142,10892537,12642253,14683555,17017877,19586972,22338586
Urban population,Antigua and Barbuda,22850,23445,23984,24006,23336,22815,22292,22465,22518,22641
Urban population,Argentina,29859584,31272164,32603604,33910889,35175563,36459843,37543830,38990109,40410674,41796990
Urban population,Armenia,2302802,2170048,2082220,1994552,1948348,1898649,1855213,1823893,1799649,1776315
Urban population,Aruba,35882,38403,40938,42194,42399,42906,43493,44588,45648,46574
Urban population,Australia,15017273,15448588,15871907,16419256,17065978,18049707,19056040,20095657,21127403,22125378
Urban population,Austria,4912877,4880469,4834637,4821291,4839033,4823638,4792887,4916377,5110858,5238479
Urban population,Azerbaijan,3959053,4028686,4085971,4232008,4396406,4643726,4920166,5189181,5453517,5692217
Urban population,"Bahamas, The",232024,247545,262059,274189,285957,298736,311718,321687,330887,338367
Urban population,Bahrain,507171,559261,611679,661316,797497,982987,1075052,1165795,1299292,1322423
Urban population,Bangladesh,23779377,26449632,29409654,33207655,37777256,42125647,46903386,52301622,58016080,63916296
Urban population,Barbados,94697,92529,90219,89079,88499,87941,87329,86933,86992,87551
Urban population,Belarus,6876034,6939798,6966778,6998521,6992229,7024602,7114020,7246350,7390686,7455467
Urban population,Belgium,9743821,9836805,9926274,10047703,10206487,10448114,10784163,10966157,11143219,11316947
Urban population,Belize,90968,96975,106084,116126,127046,138353,149043,159731,170864,181762
Urban population,Benin,2061986,2299833,2580682,2901071,3304019,3746862,4241480,4794300,5423582,6121168
Urban population,Bermuda,58910,60129,61285,62912,64154,65273,64564,65138,63873,63893
Urban population,Bhutan,97871,115325,139224,170672,205398,229241,253839,279212,303711,326894
Urban population,Bolivia,4381764,4768214,5170101,5588053,6017470,6475247,6952386,7428682,7899666,8369995
Urban population,Bosnia and Herzegovina,1584921,1607258,1747131,1805904,1800058,1771372,1717279,1672688,1646947,1626683
Urban population,Botswana,691445,788395,885903,979602,1058912,1193231,1362903,1500166,1650064,1804813
Urban population,Brazil,120701843,130010387,139649517,147774310,154731704,161361139,167726203,173941724,179958546,185636418
Urban population,British Virgin Islands,6720,7372,8128,9011,10153,11530,12626,13389,14230,14996
Urban population,Brunei Darussalam,192477,211759,231119,250333,268301,285549,302374,318042,332655,345650
Urban population,Bulgaria,5704408,5687307,5638810,5448708,5406009,5366322,5337678,5320503,5283539,5248079
Urban population,Burkina Faso,1435962,1636410,1979850,2432722,2988501,3576677,4183204,4893865,5701421,6587430
Urban population,Burundi,379033,439569,496639,577261,692707,837579,1032093,1235881,1417430,1675149
Urban population,Cabo Verde,183738,209257,236077,260968,284307,307192,328762,348451,368695,388341
Urban population,Cambodia,1699098,1977421,2197746,2364127,2539900,2728958,3011402,3315806,3637892,3973287
Urban population,Cameroon,5169399,5859653,6606306,7437901,8385541,9454260,10666950,12036424,13605785,15248270
Urban population,Canada,22130869,23081461,24048329,25052940,25834340,26789863,27847821,28781576,29729549,30999405
Urban population,Cayman Islands,30038,34194,38295,42456,46727,51123,55492,59559,63581,67311
Urban population,Central African Republic,1145085,1255015,1372844,1485864,1602261,1720153,1851877,1917526,2047664,2254648
Urban population,Chad,1380448,1548495,1724407,1918103,2181193,2430718,2716552,3064321,3448331,3914834
Urban population,Channel Islands,43955,43441,44094,44970,46349,47778,49068,49875,51075,52982
